clss,drive,highway_mpg,make,model
large car,rwd,27,genesis,g80 rwd
compact car,fwd,32,hyundai,veloster
small sport utility vehicle,fwd,27,hyundai,santa fe sport ultimate fwd
small sport utility vehicle,fwd,29,kia,sorento fwd
small sport utility vehicle,fwd,27,hyundai,santa fe sport fwd
small sport utility vehicle,fwd,28,jeep,compass fwd
small sport utility vehicle,4wd,26,jeep,cherokee trailhawk 4wd
minicompact car,fwd,31,mini,john cooper works convertible
compact car,rwd,25,bmw,650i gran coupe
subcompact car,awd,23,nissan,gt-r
subcompact car,rwd,25,bmw,650i convertible
small sport utility vehicle,fwd,23,hyundai,santa fe ultimate fwd
standard sport utility vehicle,4wd,21,gmc,yukon k1500 4wd
compact car,fwd,52,toyota,corolla hybrid
small sport utility vehicle,awd,30,infiniti,qx50 awd
midsize car,fwd,36,mazda,6
compact car,rwd,34,bmw,430i coupe
subcompact car,awd,31,audi,tt coupe quattro
two seater,awd,26,jaguar,f-type s awd convertible
subcompact car,rwd,22,roush performance,stage 3 mustang
compact car,awd,29,acura,tlx awd
small sport utility vehicle,awd,27,jeep,cherokee 4wd
two seater,rwd,23,jaguar,f-type v8 s convertible
compact car,awd,31,audi,a4 quattro
subcompact car,awd,22,nissan,gt-r
small sport utility vehicle,fwd,30,jeep,compass fwd
small sport utility vehicle,fwd,29,jeep,cherokee fwd
small sport utility vehicle,fwd,26,kia,sportage fwd
midsize car,fwd,37,mazda,6
standard sport utility vehicle,rwd,23,gmc,yukon c1500 xl 2wd
large car,awd,36,audi,a8 l
small sport utility vehicle,awd,24,hyundai,santa fe awd
standard sport utility vehicle,rwd,21,cadillac,escalade 2wd
two seater,rwd,24,jaguar,f-type s convertible
compact car,awd,28,bmw,640i xdrive gran coupe
compact car,awd,31,bmw,440i xdrive gran coupe
compact car,fwd,32,acura,tlx fwd a-spec
small sport utility vehicle,4wd,27,jeep,cherokee 4wd active drive ii
small sport utility vehicle,4wd,28,jeep,compass 4wd
subcompact car,awd,29,bmw,440i xdrive convertible
